Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2049","STM1922",,"P0AF06","Escherichia coli","motB","Flagellar motor rotation protein MotB","the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.","1.A.30.1.1","15919996;16738553;1719217;2002011;2061285;2447650;3007435;6090403;7643400;9097040;9278503",100,100,90,"1e-160"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2672","STM2522",,"P60906","Escherichia coli (strain K12)","hisS","Histidyl-tRNA synthetase (EC 6.1.1.21)","Histidinol;Histidyl-Adenosine Monophosphate","Drug target",,100,100,95,"1e-239"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3071","STM2899",,"SL1344_2878","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","invF","Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)",,"Invasion","9194698",100,86,100,"1e-122"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4366","STM4118",,"c4914","Escherichia coli CFT073","yijP","Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,"Invasion","10456927",100,100,89,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1580","STM1492",,"Q8ZPK3","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)",,"Osmoprotectant ABC transporter, permease protein OsmW","the atp-binding cassette (abc) superfamily.","3.A.1.12.14",,100,100,100,"1e-118"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2197","STM2068",,"P0AA47","Escherichia coli (strain K12)","yeeF","Low-affinity putrescine importer PlaP","the amino acid-polyamine-organocation (apc) family.","2.A.3.1.14","15919996;16738553;21266585;9097040;9278503",100,100,99,"1e-259"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1032","STM0973",,"15803653","Escherichia coli O157:H7 str. EDL933","tdcE","Pyruvate formate-lyase (EC 2.3.1.54)",,"","15731074",81,81,81,"1e-310"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1672","STM1578",,"P19318","Escherichia coli","narY","Respiratory nitrate reductase beta chain (EC 1.7.99.4)","the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.","5.A.3.1.2","15919996;16738553;2233673;9097039;9278503",100,100,94,"1e-305"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4370","STM4122",,"P0A6C8","Escherichia coli (strain K12)","argB","N-acetylglutamate kinase (EC 2.7.2.8)","N-Acetyl-L-Glutamate;Phosphoaminophosphonic Acid-Adenylate Ester;Tetrafluoroaluminate Ion","Drug target",,100,100,94,"1e-134"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.57","STM0053",,"P52687","Klebsiella pneumoniae","citA","Tricarboxylate transport sensor protein TctE => Citrate response regulator CitA","Heptamolybdate;Mo(Vi)(=O)(Oh)2 Cluster","Drug target",,97,97,83,"1e-262"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.187","STM0173",,"P0AFN6","Escherichia coli (strain K12)","yadH","Uncharacterized efflux ABC transporter, permease protein YadH","the atp-binding cassette (abc) superfamily.","3.A.1.105.17",,100,100,94,"1e-139"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1966","STM1855",,"16765196","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sopE2","G-nucleotide exchange factor SopE",,"","10735884",100,100,100,"1e-135"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2943","STM2777",,"O54507","Salmonella cholerae-suis (Salmonella enterica)","iroN","Outer Membrane Siderophore Receptor IroN","the outer membrane receptor (omr) family.","1.B.14.1.3","9515912",99,100,98,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4590","STM4336",,"P0ADB7","Escherichia coli","ecnB","Entericidin B","the putative pore-forming entericidin (ecn) family.","9.B.13.1.1","16738553;7610040;9278503;9677290",100,100,95,"2e-17"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.581","STM0546",,"STM0546","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fimD","Outer membrane usher protein SfmD",,"Virulence","15223560",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3746","STM3524",,"P09391","Escherichia coli (strain K12)","glpG","Rhomboid protease GlpG (EC 3.4.21.105)","the rhomboid protease (rhomboid) family.","9.B.104.1.1","15919996;16216077;16397293;16621838;16738553;17051161;17099694;17190827;17277078;17493126;3045764;8955387;9278503",99,99,89,"1e-148"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3633","STM3416",,"P0A7V8","Escherichia coli (strain K12)","rpsD","SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent","Doxycycline;Lymecycline;Clomocycline;Oxytetracycline;Demeclocycline;Minocycline","Drug target",,100,100,99,"1e-112"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4103","STM3853",,"161486057","Escherichia coli CFT073","phoU","Phosphate transport system regulatory protein PhoU",,"","12180926",98,98,95,"1e-127"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1298","STM1222",,"P0AFK9","Escherichia coli","potD","Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)","the atp-binding cassette (abc) superfamily.","3.A.1.11.1","11976340;15919996;16738553;1939142;2249996;7592703;8194593;8366082;8621624;8897598;8905232;9278503;9298646;9890949",100,100,93,"1e-198"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1985","STM1867",,"STM14_2265","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","pagK","PhoPQ-activated protein",,"Virulence","7927792",100,100,100,"3e-34"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2015","STM1892",,"39546331","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","znuC","Zinc ABC transporter, ATP-binding protein ZnuC",,"","21219981",100,93,100,"1e-142"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2726","STM2572",,"161367545","Escherichia coli","yfhH","Uncharacterized HTH-type transcriptional regulator YfhH",,"","15528651",100,100,83,"1e-127"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4354","STM4105",,"P0AEZ1","Escherichia coli (strain K12)","metF","5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)","Flavin adenine dinucleotide","Drug target",,100,100,95,"1e-164"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4966","PSLT072",,"17233503","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","PSLT072","X polypeptide",,"","16518469",100,100,100,"4e-88"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2645","STM2497",,"P0AGM7","Escherichia coli","uraA","Uracil permease @ Uracil:proton symporter UraA","the nucleobase/ascorbate transporter (nat) or nucleobase:cation symporter-2 (ncs2) family.","2.A.40.1.1","15919996;16738553;7721693;9205837;9278503",98,98,95,"1e-228"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.498","STM0464",,"P0AGG2","Escherichia coli (strain K12)","tesB","Acyl-CoA thioesterase II (EC 3.1.2.-)","Lauryl Dimethylamine-N-Oxide","Drug target",,100,100,91,"1e-155"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2663","STM2514",,"16765834","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ratB","Putative outer membrane protein",,"","12540539",100,100,100,"0.0"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2538","STM2392",,"24113718","Shigella flexneri 2a str. 301","vacJ","Outer-membrane-phospholipid-binding lipoprotein MlaA",,"","8145644",100,100,94,"1e-143"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1914","STM1807",,"P0A6M2","Escherichia coli","dsbB","Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation","the disulfide bond oxidoreductase b (dsbb) family.","5.A.2.1.1","10064586;1317851;15919996;16738553;7688471;7957076;8430071;8905232;9278503",100,100,85,"3e-89"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2406","STM2263",,"P33941","Escherichia coli","yojI","ABC-type siderophore export system, fused ATPase and permease components","the atp-binding cassette (abc) superfamily.","3.A.1.113.3","15866933;16738553;9097040;9278503",100,100,90,"1e-292"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1483","STM1396",,"SL1344_1330","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","ssaE","Secretion system effector SsaE",,"Virulence,Type III secretion","16518469",100,100,100,"1e-37"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.542","STM0507",,"P0A9T8","Escherichia coli (strain K12)","ybbA","Uncharacterized metabolite ABC transporter in Enterobacteriaceae, ATP-binding protein EC-YbbA","the atp-binding cassette (abc) superfamily.","3.A.1.122.15",,100,100,92,"1e-115"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4808","STM4538",,"V7RGM6","Salmonella enterica subsp. enterica serovar Give var. 15 str. CFSAN004343",,"PTS system, fructoselysine/glucoselysine-specific IID component","the pts mannose-fructose-sorbose (man) family.","4.A.6.1.19",,100,98,100,"1e-158"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.920","STM0878",,"P31134","Escherichia coli","potG","Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)","the atp-binding cassette (abc) superfamily.","3.A.1.11.2","15919996;16738553;8416922;8905232;9278503;9298646;9651355;9761835",100,100,93,"1e-205"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1213","STM1140",,"VFG000461","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","csgF","Curli production assembly/transport component CsgF",,"Adherence,Fimbrial",,100,100,100,"3e-75"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.209","STM0194",,"P06972","Escherichia coli","fhuB","Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB","the atp-binding cassette (abc) superfamily.","3.A.1.14.3","10742172;11805094;1551849;15919996;16738553;17218314;2823072;3020380;3301821;7651325;8202364;9278503",98,95,90,"0.0"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2126","STM2001",,"STM474_2081","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","yeeI","Protein MtfA",,"Virulence","17526851",100,100,100,"1e-156"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1493","STM1406",,"16764756","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ssaG","Type III secretion protein SsaG",,"","17526851",100,100,100,"2e-32"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1488","STM1401",,"VFG000502","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseD","Secretion system effector SseD",,"Secretion system,Type III secretion system",,100,100,100,"1e-103"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3594","STM3374",,"P0A9X4","Escherichia coli (strain K12)","mreB","Rod shape-determining protein MreB","the cell shape-determining mrebcd (mrebcd) family.","9.B.157.1.3",,100,100,100,"1e-195"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2215","STM2085",,"STM474_2170","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","rfbN","O antigen biosynthesis rhamnosyltransferase RfbN",,"Virulence","17526851",100,100,100,"1e-184"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1505","STM1418",,"VFG000518","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ssaQ","Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)",,"Secretion system,Type III secretion system",,100,100,100,"1e-191"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1215","STM1142",,"SL1344_1079","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","csgD","Transcriptional regulator CsgD for 2nd curli operon",,"Virulence","16518469",100,100,100,"1e-123"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4448","STM4206",,"SL1344_4141","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","gtrA","Bactoprenol-linked glucose translocase",,"Virulence","16518469",100,100,100,"3e-63"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.706","STM0668",,"TTDNR00665",,"ybeY","Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly",,"",,99,98,85,"1e-74"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.408","STM0380",,"P0A6J8","Escherichia coli (strain K12)","ddlA","D-alanine--D-alanine ligase (EC 6.3.2.4)","Cycloserine","Drug target",,100,98,89,"1e-188"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3045","STM2873",,"SL1344_2853","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","prgI","MxiH protein; Type III secretion cytoplasmic protein (YscF)",,"Type III secretion","12675813;21138848",100,100,100,"1e-38"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1425","STM1340",,"P06609","Escherichia coli","btuC","Vitamin B12 ABC transporter, permease protein BtuC","the atp-binding cassette (abc) superfamily.","3.A.1.13.1","10464235;11677609;11790740;12004122;15919996;16738553;2671656;3528129;9097039;9278503",99,99,91,"1e-172"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4162","STM3918",,"S3902","Shigella flexneri 2a str. 2457T","rfe","Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)",,"Cell motility,Cell-to-cell spread","7528731",100,100,87,"1e-190"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1875","STM1771",,"P31801","Escherichia coli","chaA","Calcium/proton antiporter","the ca(2+):cation antiporter (caca) family.","2.A.19.1.1","15919996;16738553;8496184;8905232;9278503",99,99,94,"1e-189"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3403","STM3192",,"SL1344_3165","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","assT","Putative arylsulfate sulfotransferase (EC 2.8.2.22)",,"Virulence","16518469",44,100,100,"1e-157"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2001","STM1879",,"TTDR00816",,"ptrB","Protease II (EC 3.4.21.83)",,"",,99,99,89,"0.0"
"BLAT","Drug Target","TTD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.683","STM0645",,"TTDR00348",,"nadD","Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)",,"",,50,98,85,"1e-108"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1145","STM1074",,"P0AB12","Escherichia coli (strain K12)","yccF","Inner membrane protein YccF","the 4 tms duf307/yccf (duf307) family.","9.B.55.1.1",,100,100,92,"2e-76"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2279","STM2146",,"P55882","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","thiD","Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)","4-Amino-5-Hydroxymethyl-2-Methylpyrimidine","Drug target",,100,100,100,"1e-151"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2508","STM2363",,"P08550","Escherichia coli (strain K12)","cvpA","Colicin V production protein","the colicin v production (cvpa) family.","9.B.160.1.16",,99,99,96,"2e-83"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.124","STM0115",,"NP_414618.4","Escherichia coli str. K-12 substr. MG1655","leuO","LysR family transcriptional activator LeuO",,"gene modulating antibiotic efflux,sulfonamide resistance gene",,95,95,89,"1e-157"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1186","STM1114",,"O33918","Salmonella typhimurium","scsB","Membrane protein, suppressor for copper-sensitivity ScsB","the disulfide bond oxidoreductase d (dsbd) family.","5.A.1.5.1","9260936",88,87,99,"0.0"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.556","STM0520",,"SL1344_0513","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344",,"Probable metabolite transport protein",,"Virulence","16518469",100,100,100,"1e-234"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1196","STM1124",,"P09546","Escherichia coli (strain K12)","putA","Transcriptional repressor of PutA and PutP / Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)","Tetrahydrofuran-2-Carboxylic Acid;Flavin adenine dinucleotide;Lactic Acid","Drug target",,100,100,91,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3057","STM2885",,"Q56019","Salmonella typhimurium, and Salmonella dublin","sipB","Cell invasion protein SipB","the bacterial type iii-target cell pore (iiitcp) family.","1.C.36.3.2","10051653;10692170;10972796;10972831;11677609;12068811;12169593;14662750;7608068;8522512;8748032;9194702",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3364","STM3158",,"P0ABV2","Escherichia coli (strain K12)","exbD","TonB-ExbBD energy transducing system, ExbD subunit","the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.","1.A.30.2.1","15919996;1644779;16738553;2670903;8449962;9278503",100,100,93,"5e-70"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4870","STM4598",,"218927655","Yersinia pestis CO92","arcA","Aerobic respiration control response regulator ArcA",,"","14742535",99,99,93,"1e-124"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3794","STM3570",,"P0A9R7","Escherichia coli (strain K12)","ftsE","Cell-division-associated, ABC-transporter-like signaling protein FtsE","the atp-binding cassette (abc) superfamily.","3.A.1.140.1","12471157",98,98,97,"1e-118"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2343","STM2206",,"P69811","Escherichia coli","fruF","PTS system, fructose-specific IIA component (EC 2.7.1.202) / Fructose-specific phosphocarrier protein HPr","the pts fructose-mannitol (fru) family.","4.A.2.1.1","15919996;16738553;1981619;3076173;8013873;9097040;9278503",100,100,90,"1e-192"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3061","STM2889",,"VFG000550","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","spaQ","Type III secretion inner membrane protein (YscS,homologous to flagellar export components); Surface presentation of antigens protein SpaQ",,"Secretion system,Type III secretion system,Invasion",,100,100,100,"2e-42"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1489","STM1402",,"VFG000503","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseE","Secretion system effector SseE",,"Secretion system,Type III secretion system",,100,100,100,"1e-74"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3405","STM3194",,"Q8FDI3","Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)",,"Inner membrane thiol:disulfide oxidoreductase, DsbB-like","the disulfide bond oxidoreductase b (dsbb) family.","5.A.2.1.2",,99,98,87,"1e-121"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4135","STM3882",,"P04983","Escherichia coli","rbsA","Ribose ABC transporter, ATP-binding protein RbsA (TC 3.A.1.2.1)","the atp-binding cassette (abc) superfamily.","3.A.1.2.1","1583688;15919996;16738553;3011793;3011794;3086314;6313683;7686882;7982928;8762140;8899705;9278503;9298646;9641984;9922273",100,100,96,"1e-278"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4598","STM4343",,"P00363","Escherichia coli (strain K12)","frdA","Fumarate reductase flavoprotein subunit (EC 1.3.5.4)","Thiabendazole;2-[1-(4-CHLORO-PHENYL)-ETHYL]-4,6-DINITRO-PHENOL;2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE","Drug target",,98,99,95,"0.0"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2017","STM1894",,"16765236","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","ruvB","Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)",,"","20670908",100,100,100,"1e-190"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.243","STM0225",,"187734090","Shigella boydii CDC 3083-94","skp","Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor",,"","17526712",100,100,90,"1e-75"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2468","STM2325",,"P0AFD1","Escherichia coli","nuoE","NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)","the h(+) or na(+)-translocating nadh dehydrogenase (ndh) family.","3.D.1.1.1","11997136;12718520;15919996;15996109;16079137;16738553;7607227;7690854;8157582;8366049;9205837;9278503;9298646",100,100,96,"2e-92"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.757","STM0723",,"16764093","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","STM0723","O-antigen export system, ATP-binding protein",,"","16518469",100,100,100,"1e-131"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4740","STM4479",,"P0AF98","Escherichia coli (strain K12)","yjgP","Lipopolysaccharide export system permease protein LptF","the outer membrane lipopolysaccharide export porin (lps-ep) family.","1.B.42.1.2","15919996;16738553;18375759;7610040;9278503",100,100,95,"1e-197"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3840","STM3614",,"P0A830","Escherichia coli (strain K12)","dctA","Na+/H+-dicarboxylate symporter","the dicarboxylate/amino acid:cation (na(+) or h(+)) symporter (daacs) family.","2.A.23.1.7","10482502;15919996;16738553;17088549;8041620;9278503",100,100,94,"1e-228"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.351","STM0328",,"39546292","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","STM0328.s","Uncharacterized MFS-type transporter STM0328.s",,"","17526851",92,100,100,"1e-234"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.889","STM0851",,"P75799","Escherichia coli","yliD","Oligopeptide transport permease protein OppC-like @ Glutathione ABC transporter, permease protein GsiD","the atp-binding cassette (abc) superfamily.","3.A.1.5.11","10493123;14649299;15919996;16109926;16738553;8905232;9278503",100,100,91,"1e-160"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3126","STM2948",,"P38038","Escherichia coli (strain K12)","cysJ","Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)","Flavin adenine dinucleotide;2'-Monophosphoadenosine 5'-Diphosphoribose","Drug target",,100,100,90,"0.0"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4332","STM4086",,"P0A6F3","Escherichia coli (strain K12)","glpK","Glycerol kinase (EC 2.7.1.30)","Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate;beta-D-fructofuranose 1,6-bisphosphate","Drug target",,99,99,95,"1e-288"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4372","STM4125",,,,"OxyR","Hydrogen peroxide-inducible genes activator => OxyR","Hydrogen peroxide-inducible genes activator => OxyR","regulator modulating expression of antibiotic resistance genes","25799046",,,,
